OID_,sensor_index,timestamp,humidity,temperature,pressure,pm2_5
67,3088,9/1/2022 0:00:00,47.624,86.69,983.783,4.834
414,5582,9/1/2022 0:00:00,46.13,85.239,981.566,5.842000000000001
632,11134,9/1/2022 0:00:00,0.0,32.0,0.0,2518.6455
746,142718,9/1/2022 0:00:00,48.069,85.581,984.142,8.6065
981,142720,9/1/2022 0:00:00,44.575,86.00499999999998,984.1110000000001,9.6275
1222,142726,9/1/2022 0:00:00,47.528,84.938,983.871,8.515
1417,142728,9/1/2022 0:00:00,43.04,87.382,984.374,9.132
1750,142734,9/1/2022 0:00:00,52.814,81.203,984.019,6.637
1774,142732,9/1/2022 0:00:00,45.149,87.25799999999998,983.999,10.166
2269,142744,9/1/2022 0:00:00,55.546,82.485,984.563,8.2965
2341,142748,9/1/2022 0:00:00,44.935,86.417,982.65,3.597
2591,142752,9/1/2022 0:00:00,49.891,84.206,983.875,9.4195
3087,142852,9/1/2022 0:00:00,49.721,84.552,984.393,4.569
3456,143214,9/1/2022 0:00:00,50.565,83.28499999999998,985.057,7.170500000000001
3899,143226,9/1/2022 0:00:00,,,,6.812
4036,143224,9/1/2022 0:00:00,46.046,86.167,984.051,7.596
4437,143242,9/1/2022 0:00:00,47.921,84.47799999999998,980.898,6.779999999999999
4662,143240,9/1/2022 0:00:00,43.974,89.156,983.16,6.779500000000001
5169,143636,9/1/2022 0:00:00,44.04,87.747,981.817,9.177499999999998
5358,143648,9/1/2022 0:00:00,50.19,83.708,983.051,11.163
5755,143916,9/1/2022 0:00:00,45.622,85.156,983.804,8.8505
6428,145242,9/1/2022 0:00:00,47.44,84.84999999999998,984.324,2505.33
6663,145250,9/1/2022 0:00:00,50.104,85.435,981.318,8.48
6715,145454,9/1/2022 0:00:00,48.646,83.388,983.792,9.6835
6969,145470,9/1/2022 0:00:00,50.407,82.74299999999998,984.447,7.33
7261,145498,9/1/2022 0:00:00,47.364,85.25,983.566,8.0345
7344,145506,9/1/2022 0:00:00,48.654,85.53,984.085,2499.54
7455,145610,9/1/2022 0:00:00,48.851,83.308,983.27,9.641
7940,21179,9/1/2022 0:00:00,43.929,89.07899999999998,978.049,28.762500000000003
8006,154751,9/1/2022 0:00:00,50.619,84.04,983.833,3.322
8265,23989,9/1/2022 0:00:00,53.186,82.872,983.568,7.2835
8513,156605,9/1/2022 0:00:00,48.374,84.816,983.584,8.2655
9651,31243,9/1/2022 0:00:00,56.112,84.45,979.62,7.957
10308,54907,9/1/2022 0:00:00,43.028,88.11,983.354,12.2615
10511,75827,9/1/2022 0:00:00,38.94,-228.0,466.911,7.150499999999999
10769,77405,9/1/2022 0:00:00,41.017,88.158,980.7550000000001,2477.657
11009,85113,9/1/2022 0:00:00,,,,7.7425
11260,108274,9/1/2022 0:00:00,44.652,86.84,982.3510000000001,2.491
11626,108364,9/1/2022 0:00:00,,,,6.036
11844,108366,9/1/2022 0:00:00,54.076,81.992,982.2840000000001,6.956
11867,113486,9/1/2022 0:00:00,47.16,85.054,985.2600000000001,5.603999999999999
12332,126487,9/1/2022 0:00:00,46.669,85.486,980.693,5.4645
12388,128195,9/1/2022 0:00:00,46.546,85.483,981.346,2.918
