,id,pointid,grid_code,geom
0,1,1,263,0101000020E61000009AF10601095657C009C7FB3602884640
1,2,2,263,0101000020E6100000081F726AF75557C009C7FB3602884640
2,3,3,260,0101000020E6100000764CDDD3E55557C009C7FB3602884640
3,4,4,260,0101000020E6100000E379483DD45557C009C7FB3602884640
4,5,5,261,0101000020E610000051A7B3A6C25557C009C7FB3602884640
5,6,6,263,0101000020E6100000BFD41E10B15557C009C7FB3602884640
6,7,7,262,0101000020E61000002D028A799F5557C009C7FB3602884640
7,8,8,260,0101000020E61000009B2FF5E28D5557C009C7FB3602884640
8,9,9,260,0101000020E6100000095D604C7C5557C009C7FB3602884640
9,10,10,262,0101000020E6100000768ACBB56A5557C009C7FB3602884640
10,11,11,262,0101000020E6100000E4B7361F595557C009C7FB3602884640
11,12,12,262,0101000020E610000052E5A188475557C009C7FB3602884640
12,13,13,261,0101000020E6100000C0120DF2355557C009C7FB3602884640
13,14,14,262,0101000020E61000002E40785B245557C009C7FB3602884640
14,15,15,263,0101000020E61000009C6DE3C4125557C009C7FB3602884640
15,16,16,260,0101000020E6100000099B4E2E015557C009C7FB3602884640
16,17,17,261,0101000020E610000077C8B997EF5457C009C7FB3602884640
17,18,18,261,0101000020E6100000E5F52401DE5457C009C7FB3602884640
18,19,19,262,0101000020E61000005323906ACC5457C009C7FB3602884640
19,20,20,262,0101000020E6100000C150FBD3BA5457C009C7FB3602884640
20,21,21,261,0101000020E61000002F7E663DA95457C009C7FB3602884640
21,22,22,261,0101000020E61000009CABD1A6975457C009C7FB3602884640
22,23,23,261,0101000020E61000000AD93C10865457C009C7FB3602884640
23,24,24,261,0101000020E61000007806A879745457C009C7FB3602884640
24,25,25,261,0101000020E6100000E63313E3625457C009C7FB3602884640
25,26,26,260,0101000020E610000054617E4C515457C009C7FB3602884640
26,27,27,257,0101000020E6100000C28EE9B53F5457C009C7FB3602884640
27,28,28,258,0101000020E61000002FBC541F2E5457C009C7FB3602884640
28,29,29,256,0101000020E61000009DE9BF881C5457C009C7FB3602884640
29,30,30,257,0101000020E61000000B172BF20A5457C009C7FB3602884640
30,31,31,259,0101000020E61000007944965BF95357C009C7FB3602884640
31,32,32,258,0101000020E6100000E77101C5E75357C009C7FB3602884640
32,33,33,258,0101000020E6100000559F6C2ED65357C009C7FB3602884640
33,34,34,258,0101000020E6100000C2CCD797C45357C009C7FB3602884640
34,35,35,259,0101000020E610000030FA4201B35357C009C7FB3602884640
35,36,36,259,0101000020E61000009E27AE6AA15357C009C7FB3602884640
36,37,37,258,0101000020E61000000C5519D48F5357C009C7FB3602884640
37,38,38,258,0101000020E61000007A82843D7E5357C009C7FB3602884640
38,39,39,258,0101000020E6100000E8AFEFA66C5357C009C7FB3602884640
39,40,40,258,0101000020E610000055DD5A105B5357C009C7FB3602884640
40,41,41,258,0101000020E6100000C30AC679495357C009C7FB3602884640
41,42,42,258,0101000020E6100000313831E3375357C009C7FB3602884640
42,43,43,258,0101000020E61000009F659C4C265357C009C7FB3602884640
43,44,44,258,0101000020E61000000D9307B6145357C009C7FB3602884640
44,45,45,258,0101000020E61000007BC0721F035357C009C7FB3602884640
45,46,46,258,0101000020E6100000E8EDDD88F15257C009C7FB3602884640
46,47,47,257,0101000020E6100000561B49F2DF5257C009C7FB3602884640
47,48,48,257,0101000020E6100000C448B45BCE5257C009C7FB3602884640
48,49,49,258,0101000020E610000032761FC5BC5257C009C7FB3602884640
