OID_,sensor_index,timestamp,humidity,temperature,pressure,pm2_5
98,3088,2023-04-01,50.444,43.552,976.954,1.063
258,5582,2023-04-01,45.987,43.382,974.956,2.1745
623,11134,2023-04-01,0.0,32.0,0.0,30.0225
745,142718,2023-04-01,56.818,41.028,977.712,4.7525
1054,142720,2023-04-01,55.185,39.986,977.758,3.615
1060,142726,2023-04-01,59.874,40.085,977.483,3.702
1329,142730,2023-04-01,55.151,41.66,978.163,3.0485
1470,142728,2023-04-01,55.988,38.717,977.913,3.9825
1556,142734,2023-04-01,65.133,36.138,976.051,3.6165
1902,142732,2023-04-01,56.369,42.735,977.632,3.358
1977,142736,2023-04-01,55.616,41.504,978.639,4.463
2170,142744,2023-04-01,71.756,35.063,978.314,3.4955
2314,142750,2023-04-01,54.775,42.005,977.3610000000001,4.0485
2479,142748,2023-04-01,90.997,33.061,974.322,4.0375
2697,142752,2023-04-01,,,,4.768
2799,142756,2023-04-01,59.024,39.82,978.179,3.6265
2966,142774,2023-04-01,62.074,38.626,977.973,3.459
3203,142852,2023-04-01,57.648,39.926,978.075,0.376
3402,143214,2023-04-01,61.346,39.295,978.422,3.147
3531,143216,2023-04-01,55.72,40.313,977.831,3.3475
3801,143222,2023-04-01,,,,2.9075
3839,143226,2023-04-01,50.826,46.178,977.796,3.641
4101,143224,2023-04-01,51.277,44.109,978.059,3.355
4345,143238,2023-04-01,55.471,42.431,979.032,3.4355
4530,143242,2023-04-01,58.193,40.175,974.119,3.244
4788,143240,2023-04-01,56.111,42.108,977.219,3.6955
4944,143246,2023-04-01,59.053,40.129,977.43,3.671
5124,143636,2023-04-01,57.381,41.075,975.597,3.7175
5232,143648,2023-04-01,59.448,38.493,976.7550000000001,3.453
5549,143656,2023-04-01,59.388,41.708,976.102,3.73
5637,143666,2023-04-01,55.46,39.142,978.241,3.572
5723,143668,2023-04-01,57.162,38.969,976.932,3.7775
5927,143916,2023-04-01,54.136,39.249,977.257,3.9745
5980,145202,2023-04-01,64.514,35.987,973.3510000000001,3.687
6003,145204,2023-04-01,59.818,40.711,978.3320000000001,3.143
6230,145234,2023-04-01,66.765,41.026,979.355,0.6615
6312,145242,2023-04-01,63.037,41.977,976.812,4.4615
6672,145250,2023-04-01,61.716,41.136,974.93,4.3505
6759,145454,2023-04-01,60.532,37.211,977.083,4.736499999999999
7015,145470,2023-04-01,56.552,39.826,977.7840000000001,3.359
7302,145498,2023-04-01,61.669,36.838,977.392,4.713
7389,145506,2023-04-01,75.492,37.575,965.645,1.17
7440,145610,2023-04-01,59.554,38.332,976.536,3.9065
7748,145616,2023-04-01,55.506,40.967,977.811,3.4465
7805,21179,2023-04-01,74.587,39.887,971.1540000000001,13.261
8005,154751,2023-04-01,55.739,42.474,977.134,1.1145
8324,23989,2023-04-01,63.532,38.945,976.849,2.4715
8480,156605,2023-04-01,59.662,40.829,976.814,3.766
8633,157747,2023-04-01,44.298,49.314,975.841,2.6855
8646,157757,2023-04-01,68.656,34.479,970.474,1.7895
8697,157787,2023-04-01,56.624,38.328,978.49,2.851
8784,157785,2023-04-01,61.304,36.822,977.621,3.9825
8885,157837,2023-04-01,59.312,38.195,975.195,2.873
8958,157845,2023-04-01,51.915,43.287,978.39,6.7935
9034,157861,2023-04-01,53.313,42.733,977.268,3.2255
9103,157871,2023-04-01,59.706,38.872,978.519,3.7315
9189,157877,2023-04-01,59.315,39.881,977.925,3.625
9288,157935,2023-04-01,53.481,41.489,975.2310000000001,2.6275
9372,162145,2023-04-01,45.6385,44.386,975.4235,3.6555
9810,168327,2023-04-01,55.178,42.417,976.956,3.3905
9863,171919,2023-04-01,37.112,49.306,975.174,2.8205
9951,43305,2023-04-01,54.822,41.197,975.74,6.394
10166,174451,2023-04-01,44.293,48.044,976.583,5.096
10184,174855,2023-04-01,37.136,49.206,976.679,2.704
10233,54907,2023-04-01,48.8,44.294,976.913,3.236
10482,75827,2023-04-01,43.722,-228.0,467.09,2.9865
10808,77405,2023-04-01,48.201,43.61,973.699,3.481
11025,85113,2023-04-01,57.65,37.948,973.977,3.4475
11054,98259,2023-04-01,59.106,40.771,977.3,1.3225
11174,104760,2023-04-01,46.736,44.663,981.602,2.6725
11320,108274,2023-04-01,45.449,46.765,976.372,0.1355
11587,108364,2023-04-01,54.311,40.586,976.636,3.082
11726,108366,2023-04-01,50.193,42.004,975.362,3.182
11991,113486,2023-04-01,56.606,38.762,979.309,0.466
12194,116413,2023-04-01,60.785,37.917,977.6350000000001,0.644
12227,126487,2023-04-01,52.958,42.278,973.518,1.048
12374,128195,2023-04-01,58.509,38.845,974.7,0.651
