OID__x,sensor_index,last_modified,date_created,last_seen,name,location_type,firmware_version,uptime,position_rating,latitude,longitude,altitude,channel_state,channel_flags,OID__y,timestamp,humidity,temperature,pressure,pm2_5
1,3088,1504993349,1504040633,1680036054,Howe Neighborhood,0,6.06b,2240,5,44.935818,-93.21752,833,3,0,98,2023-04-01,50.444,43.552,976.954,1.063
2,5582,1660166545,1514335701,1680036283,Vircroft Ashnia,0,7.02,494,5,44.891655,-93.34291,899,3,0,258,2023-04-01,45.987,43.382,974.956,2.1745
3,11134,1529977499,1527023589,1680036203,Linden Hills,0,7.02,7056,5,44.92776,-93.32235,886,3,0,623,2023-04-01,0.0,32.0,0.0,30.0225
4,142718,1675359061,1642013869,1680036254,City of Minneapolis Community Air Monitoring Project 50,0,7.02,11579,5,44.995792,-93.29539500000001,865,3,0,745,2023-04-01,56.818,41.028,977.712,4.7525
5,142720,1675359105,1642013875,1680036273,City of Minneapolis community air monitoring project 29,0,7.02,66182,5,44.95617,-93.25471,856,3,0,1054,2023-04-01,55.185,39.986,977.758,3.615
6,142726,1675359066,1642013897,1680036193,City of Minneapolis Community Air Monitoring Project 11,0,7.02,55,5,45.01507,-93.28903,889,3,0,1060,2023-04-01,59.874,40.085,977.483,3.702
7,142730,1675359088,1642013916,1680036220,City of Minneapolis Community Air Monitoring Project 13,0,7.02,18117,5,44.99218,-93.29627,862,3,0,1329,2023-04-01,55.151,41.66,978.163,3.0485
8,142728,1675359054,1642013901,1680036273,City of Minneapolis Community Air Monitoring Project 42,0,7.02,11921,5,44.95804,-93.245766,846,3,0,1470,2023-04-01,55.988,38.717,977.913,3.9825
9,142734,1675359072,1642013929,1680033790,City of Minneapolis Community Air Monitoring Project 19,0,7.02,4,5,44.903934,-93.28091,854,3,0,1556,2023-04-01,65.133,36.138,976.051,3.6165
10,142732,1675359127,1642013923,1680036227,City of Minneapolis Community Air Monitoring Project 16,0,7.02,422,5,44.916794,-93.273834,853,3,0,1902,2023-04-01,56.369,42.735,977.632,3.358
11,142736,1675358959,1642013936,1680036222,City of Minneapolis Community Air Monitoring Project 17,0,7.02,1398,5,44.972507,-93.28301,853,3,0,1977,2023-04-01,55.616,41.504,978.639,4.463
12,142744,1675359042,1642014285,1680036178,City of Minneapolis Community Air Monitoring Project 49,0,7.02,18117,5,44.99616,-93.29655,863,3,0,2170,2023-04-01,71.756,35.063,978.314,3.4955
13,142750,1675791761,1642014335,1680036196,City of Minneapolis community Air Monitoring Project 27,0,7.02,18864,5,44.92229,-93.32781000000001,892,3,0,2314,2023-04-01,54.775,42.005,977.361,4.0485
14,142748,1675359111,1642014328,1680036189,City of Minneapolis Community Air Monitoring Project 12,0,7.02,39799,5,44.96563,-93.28488,882,3,0,2479,2023-04-01,90.997,33.061,974.322,4.0375
15,142752,1675358999,1642014345,1680036199,City of Minneapolis Community Air Monitoring Project 40,0,7.02,32561,5,44.998524,-93.29738,865,3,0,2697,2023-04-01,,,,4.768
16,142756,1675359094,1642014537,1680036173,City of Minneapolis Community Air Monitoring Project 51,0,7.02,41980,5,45.00454,-93.26052,856,3,0,2799,2023-04-01,59.024,39.82,978.179,3.6265
17,142774,1675358981,1642021631,1680036081,City of Minneapolis community Air Monitoring Project 30,0,7.02,4444,5,44.95339,-93.31706,876,3,0,2966,2023-04-01,62.074,38.626,977.973,3.459
19,142852,1675359048,1642439734,1680036191,City of Minneapolis Community Air Monitoring Project 47,0,7.02,1911,5,44.988598,-93.30978,871,3,0,3203,2023-04-01,57.648,39.926,978.075,0.376
20,143214,1675359133,1643046645,1680036241,City of Minneapolis Community Air Monitoring Project 8,0,7.02,7111,5,44.906338,-93.232414,824,3,0,3402,2023-04-01,61.346,39.295,978.422,3.147
21,143216,1675359213,1643046651,1680036243,City of Minneapolis Community Air Monitoring Project 14,0,7.02,6935,5,44.97771,-93.263954,834,3,0,3531,2023-04-01,55.72,40.313,977.831,3.3475
22,143222,1675359083,1643046666,1680036193,City of Minneapolis,0,7.02,52907,5,45.046333,-93.31533,855,3,0,3801,2023-04-01,,,,2.9075
23,143226,1675359142,1643046681,1680036282,City of Minneapolis Community Air Monitoring Project 15,0,7.02,19218,5,44.911484,-93.22512,850,3,0,3839,2023-04-01,50.826,46.178,977.796,3.641
24,143224,1675359146,1643046675,1680036166,City of Minneapolis Community Air Monitoring Project 10,0,7.02,19475,5,45.008736,-93.249855,850,3,0,4101,2023-04-01,51.277,44.109,978.059,3.355
