sensor_index,last_modified,date_created,last_seen,name,location_type,firmware_version,uptime,position_rating,latitude,longitude,altitude,channel_state,channel_flags
3088,1504993349,1504040633,1679971604,Howe Neighborhood,0,6.06b,1166,5,44.935818,-93.21752,833,3,0
5582,1660166545,1514335701,1679971590,Vircroft Ashnia,0,7.02,664,5,44.891655,-93.34291,899,3,0
11134,1529977499,1527023589,1679971517,Linden Hills,0,7.02,5978,5,44.92776,-93.32235,886,3,0
142718,1675359061,1642013869,1679971567,City of Minneapolis Community Air Monitoring Project 50,0,7.02,10501,5,44.995792,-93.295395,865,3,0
142720,1675359105,1642013875,1679971586,City of Minneapolis community air monitoring project 29,0,7.02,65104,5,44.95617,-93.25471,856,3,0
142726,1675359066,1642013897,1679971615,City of Minneapolis Community Air Monitoring Project 11,0,7.02,7183,5,45.01507,-93.28903,889,3,0
142730,1675359088,1642013916,1679971533,City of Minneapolis Community Air Monitoring Project 13,0,7.02,17039,5,44.99218,-93.29627,862,3,0
142728,1675359054,1642013901,1679971586,City of Minneapolis Community Air Monitoring Project 42,0,7.02,10843,5,44.95804,-93.245766,846,3,0
142734,1675359072,1642013929,1679971613,City of Minneapolis Community Air Monitoring Project 19,0,7.02,70,5,44.903934,-93.28091,854,3,0
142732,1675359127,1642013923,1679971541,City of Minneapolis Community Air Monitoring Project 16,0,7.02,70926,5,44.916794,-93.273834,853,3,0
142736,1675358959,1642013936,1679971525,City of Minneapolis Community Air Monitoring Project 17,0,7.02,320,5,44.972507,-93.28301,853,3,0
142744,1675359042,1642014285,1679971611,City of Minneapolis Community Air Monitoring Project 49,0,7.02,17041,5,44.99616,-93.29655,863,3,0
142750,1675791761,1642014335,1679971630,City of Minneapolis community Air Monitoring Project 27,0,7.02,17788,5,44.92229,-93.32781,892,3,0
142748,1675359111,1642014328,1679971509,City of Minneapolis Community Air Monitoring Project 12,0,7.02,38721,5,44.96563,-93.28488,882,3,0
142752,1675358999,1642014345,1679971630,City of Minneapolis Community Air Monitoring Project 40,0,7.02,31485,5,44.998524,-93.29738,865,3,0
142756,1675359094,1642014537,1679971606,City of Minneapolis Community Air Monitoring Project 51,0,7.02,40904,5,45.00454,-93.26052,856,3,0
142774,1675358981,1642021631,1679971514,City of Minneapolis community Air Monitoring Project 30,0,7.02,3368,5,44.95339,-93.31706,876,3,0
142772,1675358954,1642021624,1679971559,City of Minneapolis community Air Monitoring Project 31,0,7.02,846,5,44.906876,-93.2261,846,3,0
142852,1675359048,1642439734,1679971625,City of Minneapolis Community Air Monitoring Project 47,0,7.02,835,5,44.988598,-93.30978,871,3,0
143214,1675359133,1643046645,1679971555,City of Minneapolis Community Air Monitoring Project 8,0,7.02,6033,5,44.906338,-93.232414,824,3,0
143216,1675359213,1643046651,1679971556,City of Minneapolis Community Air Monitoring Project 14,0,7.02,5857,5,44.97771,-93.263954,834,3,0
143222,1675359083,1643046666,1679971624,City of Minneapolis,0,7.02,51831,5,45.046333,-93.31533,855,3,0
